RI_URL,CRN,PrimaryNameOfOrganization,City,Province,RankingAssets
https://mastercardfdn.org,817387277RR0001,MASTERCARD FOUNDATION,TORONTO,ON,1
http://www.solitudenaturereserve.com/,844636605RR0001,PHIL MCNAMEE CHARITABLE FOUNDATION,GRAND BEND,ON,2
http://www.azrielifoundation.org,892425166RR0001,THE AZRIELI FOUNDATION LA FONDATION AZRIELI,MONTREAL,QC,3
https://www.fordfoundation.org,000000000RR0000,FORD FOUNDATION,NEW YORK,NY,0
https://www.fondationchagnon.org/en/index.aspx,867363640RR0001,FONDATION LUCIE ET ANDR� CHAGNON LUCIE AND ANDR� CHAGNON FOUNDATION,MONTREAL,QC,4
http://www.jcfmontreal.org,118974179RR0001,JEWISH COMMUNITY FOUNDATION OF MONTREAL LA FOUNDATION COMMUNAUTAIRE JUIVE DE MONTREAL,MONTREAL,QC,5
https://www.fcm.ca/en,734668890RR0001,GREEN MUNICIPAL FUND,OTTAWA,ON,7
www.vancouverfoundation.ca,119281640RR0001,VANCOUVER FOUNDATION,VANCOUVER,BC,8
https://www.sickkidsfoundation.com,108084419RR0001,THE HOSPITAL FOR SICK CHILDREN FOUNDATION,TORONTO,ON,9
https://giftfunds.com/,896713500RR0001,CHARITABLE GIFT FUNDS CANADA FOUNDATION FONDS DE BIENFAISANCE CANADA,KINGSTON,ON,10
https://lillyendowment.org,000000001RR0000,LILLY ENDOWMENT,INDIANAPOLIS,IN,0
http://www.wpgfdn.org/,119300960RR0001,THE WINNIPEG FOUNDATION,WINNIPEG,MB,6
