RI_URL,CRN,PrimaryNameOfOrganization,City,Province,RankingAssets
http://www.calgaryfoundation.org,108074436RR0001,THE CALGARY FOUNDATION,CALGARY,AB,11
https://www.lksf.org/locations/canada/,857269971RR0001,LI KA SHING (CANADA) FOUNDATION,TORONTO,ON,12
https://www.tgwhf.ca/,123864068RR0001,UHN FOUNDATION,TORONTO,ON,14
https://thepmcf.ca/Home,889007597RR0001,THE PRINCESS MARGARET CANCER FOUNDATION,TORONTO,ON,16
http://www.cssd.ab.ca,106831118RR0004,THE CALGARY ROMAN CATHOLIC SEPARATE SCHOOL DIVISION,CALGARY,AB,18
https://torontofoundation.ca/,136491875RR0001,TORONTO FOUNDATION,TORONTO,ON,19
https://www.td.com/ca/products-services/investing/privategiving-index.jsp,857210744RR0001,PRIVATE GIVING FOUNDATION,TORONTO,ON,20
https://www.ecfoundation.org/,122437072RR0001,THE EDMONTON COMMUNITY FOUNDATION,EDMONTON,AB,21
https://mcconnellfoundation.ca/,119240091RR0001,THE J W MCCONNELL FAMILY FOUNDATION - LA FONDATION DE LA FAMILLE J W MCCONNELL,MONTREAL,QC,23
https://www.jewishfoundationtoronto.com/,108155797RR0002,JEWISH FOUNDATION OF GREATER TORONTO,TORONTO,ON,24
